id,sourceId,sourceName,rawText,segment,candidateCustodian,targetId,score,matchType,status
review:custodian:australian-commission-on-safety-and-quality-in-health-care:1:1:aihw-collaboration-on-data-sta:override,custodian:australian-commission-on-safety-and-quality-in-health-care,Australian Commission on Safety and Quality in Health Care,"AIHW: Collaboration on data standards and national health data initiatives, as mentioned in the ACSQHC Data Plan 2024-2027.
Department of Health and Aged Care: Works in partnership on the National Clinical Quality Registry Program and other health initiatives.
NHMRC/HRECs: Engages with Human Research Ethics Committees for ethical oversight of data use in clinical quality registries.","AIHW: Collaboration on data standards and national health data initiatives, as mentioned in the ACSQHC Data Plan 2024-2027",Australian Institute of Health and Welfare,custodian:australian-institute-of-health-and-welfare,1.0,override_force_accept,accepted
review:custodian:australian-commission-on-safety-and-quality-in-health-care:2:department-of-health-and-aged-care-works,custodian:australian-commission-on-safety-and-quality-in-health-care,Australian Commission on Safety and Quality in Health Care,"AIHW: Collaboration on data standards and national health data initiatives, as mentioned in the ACSQHC Data Plan 2024-2027.
Department of Health and Aged Care: Works in partnership on the National Clinical Quality Registry Program and other health initiatives.
NHMRC/HRECs: Engages with Human Research Ethics Committees for ethical oversight of data use in clinical quality registries.",Department of Health and Aged Care: Works in partnership on the National Clinical Quality Registry Program and other health initiatives,Australian Government Department of Health and Aged Care,custodian:australian-government-department-of-health-and-aged-care,1.01,alias_leading,accepted
review:custodian:australian-commission-on-safety-and-quality-in-health-care:3:nhmrc-hrecs-engages-with-human-research-,custodian:australian-commission-on-safety-and-quality-in-health-care,Australian Commission on Safety and Quality in Health Care,"AIHW: Collaboration on data standards and national health data initiatives, as mentioned in the ACSQHC Data Plan 2024-2027.
Department of Health and Aged Care: Works in partnership on the National Clinical Quality Registry Program and other health initiatives.
NHMRC/HRECs: Engages with Human Research Ethics Committees for ethical oversight of data use in clinical quality registries.",NHMRC/HRECs: Engages with Human Research Ethics Committees for ethical oversight of data use in clinical quality registries,National Health and Medical Research Council (NHMRC) / Human Research Ethics Committees (HRECs),custodian:national-health-and-medical-research-council-nhmrc-human-research-ethics-committees-hrecs,1.01,alias_leading,accepted
review:custodian:australian-digital-health-agency:1:australian-institute-of-health-and-welfa,custodian:australian-digital-health-agency,Australian Digital Health Agency,"Australian Institute of Health and Welfare (AIHW): AIHW has been appointed as the Data Custodian to manage the use of My Health Record system data for research or public health purposes. [3]
Department of Health and Aged Care: The Department of Health and Aged Care is leading the implementation of the framework for secondary use of My Health Record data in partnership with ADHA and AIHW. [3]
Services Australia: ADHA collaborates with Services Australia for Healthcare Identifiers (HPI-Is, HPI-Os, IHIs) and eBusiness Service Centre support. [4]",Australian Institute of Health and Welfare (AIHW): AIHW has been appointed as the Data Custodian to manage the use of My Health Record system data for research or public health purposes. [3],Australian Institute of Health and Welfare,custodian:australian-institute-of-health-and-welfare,1.02,name_leading,accepted
review:custodian:australian-digital-health-agency:2:department-of-health-and-aged-care-the-d,custodian:australian-digital-health-agency,Australian Digital Health Agency,"Australian Institute of Health and Welfare (AIHW): AIHW has been appointed as the Data Custodian to manage the use of My Health Record system data for research or public health purposes. [3]
Department of Health and Aged Care: The Department of Health and Aged Care is leading the implementation of the framework for secondary use of My Health Record data in partnership with ADHA and AIHW. [3]
Services Australia: ADHA collaborates with Services Australia for Healthcare Identifiers (HPI-Is, HPI-Os, IHIs) and eBusiness Service Centre support. [4]",Department of Health and Aged Care: The Department of Health and Aged Care is leading the implementation of the framework for secondary use of My Health Record data in partnership with ADHA and AIHW. [3],Australian Government Department of Health and Aged Care,custodian:australian-government-department-of-health-and-aged-care,1.01,alias_leading,accepted
review:custodian:australian-digital-health-agency:3:services-australia-adha-collaborates-wit,custodian:australian-digital-health-agency,Australian Digital Health Agency,"Australian Institute of Health and Welfare (AIHW): AIHW has been appointed as the Data Custodian to manage the use of My Health Record system data for research or public health purposes. [3]
Department of Health and Aged Care: The Department of Health and Aged Care is leading the implementation of the framework for secondary use of My Health Record data in partnership with ADHA and AIHW. [3]
Services Australia: ADHA collaborates with Services Australia for Healthcare Identifiers (HPI-Is, HPI-Os, IHIs) and eBusiness Service Centre support. [4]","Services Australia: ADHA collaborates with Services Australia for Healthcare Identifiers (HPI-Is, HPI-Os, IHIs) and eBusiness Service Centre support. [4]",Services Australia,custodian:services-australia,1.02,name_leading,accepted
review:custodian:australian-government-department-of-health-and-aged-care:1:1:australian-institute-of-health:override,custodian:australian-government-department-of-health-and-aged-care,Australian Government Department of Health and Aged Care,"Australian Institute of Health and Welfare (AIHW): Collaboration on National Integrated Health Services Information (NIHSI) and data linkage requests.
Services Australia: Holds Medicare statistics that can be helpful for health professionals, researchers, journalists and the general public.
State and Territory Health Authorities: Collaboration on National Integrated Health Services Information (NIHSI).",Australian Institute of Health and Welfare (AIHW): Collaboration on National Integrated Health Services Information (NIHSI) and data linkage requests,Australian Institute of Health and Welfare,custodian:australian-institute-of-health-and-welfare,1.0,override_force_accept,accepted
review:custodian:australian-government-department-of-health-and-aged-care:2:1:services-australia-holds-medic:override,custodian:australian-government-department-of-health-and-aged-care,Australian Government Department of Health and Aged Care,"Australian Institute of Health and Welfare (AIHW): Collaboration on National Integrated Health Services Information (NIHSI) and data linkage requests.
Services Australia: Holds Medicare statistics that can be helpful for health professionals, researchers, journalists and the general public.
State and Territory Health Authorities: Collaboration on National Integrated Health Services Information (NIHSI).","Services Australia: Holds Medicare statistics that can be helpful for health professionals, researchers, journalists and the general public",Services Australia,custodian:services-australia,1.0,override_force_accept,accepted
review:custodian:australian-government-department-of-health-and-aged-care:3:state-and-territory-health-authorities-c:structural,custodian:australian-government-department-of-health-and-aged-care,Australian Government Department of Health and Aged Care,"Australian Institute of Health and Welfare (AIHW): Collaboration on National Integrated Health Services Information (NIHSI) and data linkage requests.
Services Australia: Holds Medicare statistics that can be helpful for health professionals, researchers, journalists and the general public.
State and Territory Health Authorities: Collaboration on National Integrated Health Services Information (NIHSI).",State and Territory Health Authorities: Collaboration on National Integrated Health Services Information (NIHSI),,,0.0,structural_note,rejected
review:custodian:australian-institute-of-aboriginal-and-torres-strait-islander-studies:1:australian-bureau-of-statistics-abs-coll,custodian:australian-institute-of-aboriginal-and-torres-strait-islander-studies,Australian Institute of Aboriginal and Torres Strait Islander Studies,"Australian Bureau of Statistics (ABS): Collaboration on the National Aboriginal and Torres Strait Islander Health Survey.
Australian Institute of Health and Welfare (AIHW): Collaboration on the Aboriginal and Torres Strait Islander Health Performance Framework reports.
National Health and Medical Research Council (NHMRC)/Human Research Ethics Committees (HRECs): AIATSIS works with the NHMRC and HRECs to ensure ethical research practices in Indigenous health research.",Australian Bureau of Statistics (ABS): Collaboration on the National Aboriginal and Torres Strait Islander Health Survey,Australian Bureau of Statistics,custodian:australian-bureau-of-statistics,1.02,name_leading,accepted
